term,estimate,std.error,statistic,p.value,dropped
regionNordic,-8.554964180100868,6.706222817792533,-1.2756755050553001,0.2075306379633413,KOR
regionNon-OECD,1.2369795737147997,3.0076414846543966,0.41127893069241234,0.6824957582194798,KOR
regionEast Asia,12.30887825702313,5.316806858299149,2.315088470405854,0.02443737663731229,KSV
regionNordic,-9.36041043549738,6.805964991429017,-1.375324505383919,0.17470984468444156,KSV
regionNon-OECD,1.7992576022322577,3.0510042082973747,0.5897263587310293,0.5578336924963377,KSV
regionEast Asia,11.920382569578289,5.329200275561295,2.236805140208918,0.029449711727760987,LTU
regionNordic,-9.606870158623325,6.781279094470393,-1.4166752355697882,0.16232126784361778,LTU
regionNon-OECD,1.592687829513149,3.055437598283372,0.5212634126149277,0.6043145728765975,LTU
regionEast Asia,12.254989142607158,5.325687867001015,2.301109161605475,0.025272502695112845,LVA
regionNordic,-9.666733464105597,6.817571358244432,-1.4179145264707347,0.1619607722917846,LVA
regionNon-OECD,1.8784814828728507,3.0360146064538243,0.6187326895198918,0.5386938902207798,LVA
regionEast Asia,12.249314058481609,5.316808467854249,2.303884770824775,0.025104694877613788,MAR
regionNordic,-9.309533906079949,6.803375535256117,-1.3683698419757284,0.1768629438412574,MAR
regionNon-OECD,2.102008128326579,3.012561411006447,0.6977478104336245,0.4883285383252761,MAR
regionEast Asia,12.783990296369808,5.433470943692759,2.3528220595731026,0.0223046089807522,MEX
regionNordic,-9.532112351432804,6.818631323246503,-1.397950981590005,0.16784396346042094,MEX
regionNon-OECD,2.3586808337259852,3.160866086398206,0.7462134646816666,0.4587748577121801,MEX
regionEast Asia,12.213770335192365,5.296657107570069,2.30593940425863,0.024981115170124142,MLT
regionNordic,-9.279174372537819,6.779236926109993,-1.3687638407796907,0.1767404248497374,MLT
regionNon-OECD,1.632190752732333,3.0423226309080458,0.5364949582106521,0.5938199592783744,MLT
regionEast Asia,12.445392815039675,5.329521200654513,2.335180281018728,0.023280141638986413,MNG
regionNordic,-9.477013816335203,6.823428930581217,-1.3888931668740858,0.1705670920976983,MNG
regionNon-OECD,2.04692944380617,3.026206483109091,0.6764011164575846,0.5016730409411443,MNG
regionEast Asia,12.6159900374998,5.316846875356097,2.372833059378796,0.021242424606370356,MYS
regionNordic,-9.622728772962667,6.803369037325117,-1.4144064095552926,0.1629828556908031,MYS
regionNon-OECD,2.0157428237468014,3.0125141727549107,0.669123100557375,0.5062677330314918,MYS
regionEast Asia,13.148554187657385,4.985752072154931,2.6372258382223057,0.010894270562651657,NLD
regionNordic,-8.24959979618661,6.391775553277063,-1.2906585544852307,0.20232089666252426,NLD
regionNon-OECD,2.8368345244764526,2.8386489049354875,0.9993608295637124,0.3220772153403993,NLD
regionEast Asia,12.449391189974435,5.210002696346666,2.3895172259131727,0.02039169231642793,NZL
regionNordic,-8.397147204446593,6.7074713191183655,-1.2519095207328177,0.21599844624771553,NZL
regionNon-OECD,2.2059301415105264,2.957409645728466,0.7458994206963047,0.45896298323225615,NZL
regionEast Asia,12.267860808742434,5.315877240124531,2.307777297064716,0.02487103078222619,PAN
regionNordic,-9.325375540960419,6.803200984647111,-1.370733506478074,0.17612890669653242,PAN
regionNon-OECD,2.1135067407066246,3.013387713335247,0.7013723230348525,0.48608243267208073,PAN
regionEast Asia,12.39715882948528,5.341925759863724,2.320728401474741,0.024107465418987995,PER
regionNordic,-9.435814944444614,6.830429820667722,-1.3814379463929838,0.1728338417608972,PER
regionNon-OECD,2.0577465144998683,3.021902532511961,0.6809440385191257,0.49881658705550613,PER
regionEast Asia,12.2947233018193,5.333481947582478,2.305196384398031,0.02502574283600917,PHL
regionNordic,-9.348320035349905,6.821233070847856,-1.3704736281922618,0.17620949760255022,PHL
regionNon-OECD,2.0634148429815804,3.018417563069224,0.683608148928021,0.49714561631023535,PHL
regionEast Asia,12.657224929262206,5.326870407951515,2.376109039628323,0.02107291551965799,POL
regionNordic,-9.270100908298355,6.8116206662406835,-1.3609244205629702,0.1791904398157101,POL
regionNon-OECD,2.2800239084573564,3.039685041446979,0.750085577080709,0.4564589542584321,POL
regionEast Asia,12.710310941466092,5.308888976543652,2.394156479373417,0.020160626083670908,PRT
regionNordic,-9.160745056414353,6.795129618453387,-1.3481339681198596,0.1832433847721341,PRT
regionNon-OECD,2.340072924210388,3.026807987315725,0.7731157490058176,0.44282501292485155,PRT
regionEast Asia,12.408325106279694,5.329695663316056,2.3281489019505144,0.02367944787263057,PRY
regionNordic,-9.445352576507563,6.823215928053819,-1.3842963019348056,0.171962040666798,PRY
regionNon-OECD,2.07614655904265,3.0252948348991673,0.6862625536832504,0.4954837864555087,PRY
regionEast Asia,12.872626050069544,5.297426128625082,2.4299774527314764,0.01845414289966503,PSE
regionNordic,-9.8419334288261755,6.771303125611141,-1.453477011182821,0.1518785987258699,PSE
regionNon-OECD,2.698783949918072,3.0636987041394375,0.8808907828539666,0.38228086580057097,PSE
regionEast Asia,12.29959356800858,5.320725566060058,2.3116384063228996,0.02464116713920615,QAT
regionNordic,-9.352479954346848,6.809756235305054,-1.373394234856615,0.1753054121947431,QAT
regionNon-OECD,1.8046388980267707,3.056980623158054,0.5903337706349165,0.5574294300619006,QAT
regionEast Asia,12.17374580390074,5.364075356542151,2.26949567161717,0.02725535859047027,QAZ
regionNordic,-9.244987574200252,6.838425129259838,-1.3519176417744723,0.18203723381013764,QAZ
regionNon-OECD,1.9769185087461458,3.025991097568322,0.6533127312683742,0.5163268893994883,QAZ
regionEast Asia,12.444704797390063,5.314556917152185,2.3416260266638713,0.022919383247848608,QUR
regionNordic,-9.476426148725386,6.806450784602611,-1.3922713097643677,0.16954753976574355,QUR
regionNon-OECD,1.9192047580410851,3.028205191753032,0.6337763250878171,0.5289023212691437,QUR
regionEast Asia,12.352297532952685,5.314391478378263,2.3243108045781575,0.023899977444813387,ROU
regionNordic,-9.397496841815318,6.804818168132128,-1.3810063119430658,0.17296578538374255,ROU
regionNon-OECD,1.8349684453403663,3.0423102655453533,0.603149674154433,0.5489341598418163,ROU
regionEast Asia,13.1682857974576,5.321994782228921,2.4743139248142123,0.016522520716820695,SAU
regionNordic,-10.0944700565969,6.782252204072759,-1.4883654799116945,0.14247156103420325,SAU
regionNon-OECD,2.9485395563301893,3.1131493754038875,0.9471243428361537,0.347794654365817,SAU
regionEast Asia,14.765117413590678,5.817647724064684,2.5379875361849105,0.014067094350757824,SGP
regionNordic,-9.382665148936528,6.765424408616492,-1.3868553666768784,0.17118439685913192,SGP
