quantile,hwk_at,slope_mean,between,M,country
p25,1,-12.344542823537779,1.3005050061445789,10,DEU
p50,1,-12.344542823537779,1.3005050061445789,10,DEU
p75,2,-12.788846924826373,0.5290142214345679,10,DEU
p25,1,-6.215996931853624,0.5091536160554823,10,DNK
p50,1,-6.215996931853624,0.5091536160554823,10,DNK
p75,2,-9.51793409394503,0.22984976985668093,10,DNK
p25,1,10.530695266179578,0.3785091956640128,10,DOM
p50,2,8.553575007638244,0.16794693742285044,10,DOM
p75,3,2.8527657744858175,0.4649772545635161,10,DOM
p25,1,0.6743757640579133,0.4663899732509759,10,ESP
p50,2,-4.019716386549987,0.12128270493269089,10,ESP
p75,2,-4.019716386549987,0.12128270493269089,10,ESP
p25,1,-13.370443705198227,1.5237337486577025,10,EST
p50,1,-13.370443705198227,1.5237337486577025,10,EST
p75,2,-13.944303030637514,0.5785972826636733,10,EST
p25,1,-11.846229041238985,1.5837504400398552,10,FIN
p50,1,-11.846229041238985,1.5837504400398552,10,FIN
p75,1,-11.846229041238985,1.5837504400398552,10,FIN
p25,1,4.381543678986986,1.6345336756752982,10,FRA
p50,1,4.381543678986986,1.6345336756752982,10,FRA
p75,2,-1.6643195979575012,0.5901277991949496,10,FRA
p25,1,11.409624901851203,0.7358403760330009,10,GBR
p50,1,11.409624901851203,0.7358403760330009,10,GBR
p75,2,6.859633531713598,0.14955439654115038,10,GBR
p25,1,21.075678202187305,0.7918245833465687,10,GEO
p50,2,16.98206374490985,0.39072940587839305,10,GEO
p75,3,5.202858460298955,0.3460034104876317,10,GEO
p25,1,24.756620755776396,1.09764072056194,10,GRC
p50,2,15.82287255609333,0.5174273092334496,10,GRC
p75,3,-8.481264309443077,1.6758928532062551,10,GRC
p25,1,19.163483032077806,1.1772100455838066,10,GTM
p50,2,14.102562132011201,0.47084216896025516,10,GTM
p75,3,0.012543838119427164,1.5264001858744525,10,GTM
p25,1,21.09493990197609,0.26764111794362216,10,HKG
p50,2,13.009548855442176,0.23491332140732135,10,HKG
p75,3,-9.502062026707108,0.7260324308317609,10,HKG
p25,1,17.370721103543872,1.5525807633169726,10,HRV
p50,2,11.38963578630387,0.7884450664007169,10,HRV
p75,2,11.38963578630387,0.7884450664007169,10,HRV
p25,1,0.6740516506251879,1.53160727767355,10,HUN
p50,1,0.6740516506251879,1.53160727767355,10,HUN
p75,2,-6.418931009260973,0.3322247105381467,10,HUN
p25,1,7.946067837824785,1.1315878834342057,10,IDN
p50,2,8.900114163131093,0.4718312425075287,10,IDN
p75,3,10.775510625350876,0.8165183835182476,10,IDN
p25,1,8.098287498284321,0.6434330982777362,10,IRL
p50,1,8.098287498284321,0.6434330982777362,10,IRL
p75,2,2.5165610097461126,0.3357755918924873,10,IRL
p25,1,-7.097620606972498,5.568621064146265,10,ISL
p50,1,-7.097620606972498,5.568621064146265,10,ISL
p75,2,-6.140943653912018,1.0395257552076793,10,ISL
p25,1,9.829397318063002,1.0550882510647388,10,ISR
p50,2,8.100450886453075,0.3858334869127094,10,ISR
p75,3,2.9635834668434313,0.7595299746588012,10,ISR
p25,1,12.138455374678983,1.0123543199695262,10,ITA
p50,2,6.948545776254832,0.32002635867490115,10,ITA
p75,3,-7.36841958367927,1.2746167105896216,10,ITA
p25,1,16.25257131812367,1.6908098414892496,10,JAM
p50,2,11.118882483916366,0.9115516563995157,10,JAM
p75,3,-3.36913419510131,0.6654179980331,10,JAM
p25,1,0.9637717813307063,1.3014855185918937,10,JOR
p50,2,-0.3510327499241157,0.45376686955407586,10,JOR
p75,3,-3.9636977656733166,0.8794950949260865,10,JOR
p25,1,13.161927345355082,1.092073453448085,10,KAZ
p50,2,8.533505112121588,0.26868312471046857,10,KAZ
p75,3,-4.371399050890773,1.1424518297389796,10,KAZ
p25,1,7.181040571263907,1.097327747554524,10,KHM
p50,2,4.494874646425615,0.5223419122214296,10,KHM
p75,3,-2.945644724829606,0.891457701538363,10,KHM
p25,2,31.647813873581526,0.7905793114992379,10,KOR
p50,3,13.76158776921477,1.4114328528484987,10,KOR
p75,4,2.9297109788800526,1.0872141587986546,10,KOR
p25,1,17.460474985056976,1.0442634105389597,10,KSV
p50,2,12.544383612369757,0.43895136990329203,10,KSV
p75,3,-1.2761077618815193,2.1139179784955093,10,KSV
p25,1,1.331408325125949,0.9765878929765726,10,LTU
p50,2,-1.4434991220311417,0.29265617630495816,10,LTU
p75,3,-9.08312151551985,0.9244131492580379,10,LTU
p25,1,-0.5082259237323683,3.018723734525858,10,LVA
p50,1,-0.5082259237323683,3.018723734525858,10,LVA
p75,2,-3.823641418160719,0.6444584745157707,10,LVA
p25,1,10.376228039747616,1.5429285062503024,10,MAC
p50,2,4.48547272173505,0.36538997634997894,10,MAC
p75,3,-11.602280316167366,2.1972394347748443,10,MAC
p25,1,7.549180558423586,0.6950226279777885,10,MAR
p50,2,6.087080724651173,0.3460947922008043,10,MAR
p75,3,1.9052587131350833,0.18545271344923486,10,MAR
p25,1,9.920971538974243,0.42123345761407033,10,MDA
p50,2,6.420118140906311,0.3051793162628267,10,MDA
p75,3,-3.48235480931595,0.29050472633379115,10,MDA
p25,1,14.144106684366761,0.3249789142136168,10,MEX
p50,2,11.211850721392864,0.11204838576865182,10,MEX
p75,3,2.823335872864675,2.0736551761762017,10,MEX
p25,1,10.826650649244186,0.5227913067576058,10,MKD
p50,1,10.826650649244186,0.5227913067576058,10,MKD
p75,2,7.140053291279457,0.23815893286632828,10,MKD
p25,1,23.18922569972665,1.9004889222269554,10,MLT
p50,2,15.025613203496164,0.8895982812869546,10,MLT
p75,3,-7.694952034748496,0.8912033642317048,10,MLT
p25,1,17.27764909923809,1.2498513413139938,10,MNE
