country,region,hwk_mean,slope_p25,slope_p50,slope_p75,concavity,fragility,base_slope,pct_change,slope_p50_pisa_pts
MAR,Non-OECD,2.4522029255162527,7.549180558423586,6.087080724651173,1.905258713135083,5.643921845288503,robust,1.3069446133773537,22.117127162396333,6.087080724651173
MDA,Non-OECD,1.9948904277358837,9.920971538974245,6.420118140906311,-3.48235480931595,13.403326348290197,robust,-1.1454640679729058,9.30936445811504,6.420118140906311
MEX,OECD (other),2.3595051499090336,14.14410668436676,11.211850721392864,2.823335872864675,11.320770811502085,robust,2.8789198757676493,11.20616798451026,11.211850721392864
MKD,Non-OECD,1.8638921403088031,10.826650649244186,10.826650649244186,7.140053291279457,3.686597357964729,robust,-1.1816986510228544,28.3945327034912,10.826650649244186
MLT,Non-OECD,1.984520440316532,23.18922569972665,15.025613203496164,-7.694952034748496,30.884177734475145,flip,0.9091204636958704,253.60904131583175,15.025613203496164
MNE,Non-OECD,1.803285362292394,17.27764909923809,17.27764909923809,12.239823264431775,5.0378258348063145,robust,2.4529389589961808,20.532331245219364,17.27764909923809
MNG,Non-OECD,2.354119077126432,13.821747501535183,11.195733344851476,3.596347870170291,10.225399631364892,robust,2.7093409317082853,33.5275012301183,11.195733344851476
MYS,Non-OECD,2.4533543958604778,16.616832209678932,16.616832209678932,7.205111060672664,9.411721149006269,robust,5.277024768369886,1.1141949189291809,16.616832209678932
NLD,OECD (other),1.7042317347207312,25.974395074725063,25.974395074725063,12.882446034039958,13.091949040685105,flip,2.949811843246166,111.42432748040204,25.974395074725063
NZL,OECD (other),1.4824864382255367,14.68835429509994,14.68835429509994,9.98874581579014,4.6996084793098,robust,4.480013273259962,19.97723331635372,14.68835429509994
PAN,Non-OECD,2.430084404667868,6.654496113756807,5.976636558925463,3.825681905885574,2.8288142078712326,shrink,1.2987313105690572,65.4668760295888,5.976636558925463
PER,Non-OECD,2.540551876515324,11.311927173595793,11.311927173595793,4.723140165759446,6.588787007836347,robust,3.4890916287896583,16.921085473841302,11.311927173595793
PHL,Non-OECD,2.515598305723145,9.589841509208156,8.719569907779146,5.924543185321966,3.6652983238861903,robust,2.2596630737646315,19.85617427579137,8.719569907779146
POL,OECD (other),1.815381395670944,9.036300534420832,9.036300534420832,4.117549770562903,4.918750763857929,robust,-2.9893452929121973,30.665888500466146,9.036300534420832
PRT,OECD (other),1.7754893120686892,10.638600116362454,10.638600116362454,6.078933228251685,4.559666888110769,shrink,-0.2560791932757106,661.1598082733651,10.638600116362454
PRY,Non-OECD,2.3684620817440836,15.964321990992971,9.645513623089414,-7.692613903579229,23.6569358945722,robust,-1.8585361792119115,25.13843251588064,9.645513623089414
PSE,Non-OECD,1.8270974280776553,-2.0352596883564047,-2.0352596883564047,-3.0483903034403284,1.0131306150839237,robust,-4.844763638013789,4.355116966131665,-2.0352596883564047
QAT,Non-OECD,1.977628505881774,11.920802506539983,11.920802506539983,-2.7070797215660036,14.627882228105989,robust,-2.4366568433132656,16.35260206468832,11.920802506539983
QAZ,Non-OECD,2.7596532139073857,16.63265543661163,10.6548102455273,2.05233630158665,14.58031913502498,robust,6.663817392628844,5.872783286105883,10.6548102455273
QUR,Non-OECD,2.2212522073973653,17.10060294792885,13.831957370543762,4.364494920083928,12.73610802784492,robust,4.9980186221759295,7.696875255692321,13.831957370543762
ROU,Non-OECD,2.074458692796566,13.65358714762766,13.02506092543672,10.37086907797351,3.28271806965415,robust,5.365866446316458,19.431210194171076,13.02506092543672
SAU,Non-OECD,1.619281628799731,-3.8262874938725417,-3.8262874938725417,-5.815762839258241,1.9894753453856993,robust,-6.221611254263289,18.144014510422664,-3.8262874938725417
SGP,East Asia,2.397777620497072,14.009233885191406,14.009233885191406,4.553716729069379,9.455517156122028,shrink,5.955377674132837,58.74212896296864,14.009233885191406
SLV,Non-OECD,2.390112409890079,11.694188650241074,9.5876444699976,3.443603111778202,8.250585538462872,robust,1.466844664760676,19.139711360521417,9.5876444699976
SRB,Non-OECD,1.6670594788675626,6.641317935093923,6.641317935093923,4.849459130048899,1.791858805045024,shrink,-0.5204148171670987,59.990652625194855,6.641317935093923
SVK,OECD (other),1.5714019999126323,-0.2975719966740371,-0.2975719966740371,-3.27617964855051,2.978607651876473,robust,-7.998850761421243,5.540355101015676,-0.2975719966740371
SVN,OECD (other),1.7566753265793495,7.6920937351811745,7.6920937351811745,-0.5168338525539298,8.208927587735104,robust,-7.022082858765153,18.211280031863858,7.6920937351811745
SWE,Nordic,1.405039039241786,-30.24761312357458,-30.24761312357458,-21.66302225600407,-8.584590867570512,robust,-16.896056305935783,11.03253594132927,-30.24761312357458
TAP,East Asia,1.835818432046826,47.82373936968304,31.487307223619723,31.487307223619723,16.336432146063316,robust,14.6786144100027,6.3950868795879865,31.487307223619723
THA,Non-OECD,2.185574722430571,15.956198111724689,12.036857160903764,0.9904124831059562,14.965785628618733,robust,2.6307830397944505,16.852196170773635,12.036857160903764
TUR,OECD (other),1.985780510800239,20.776499847512017,17.927651452526334,9.08981344040103,11.686686407110988,robust,6.093667523110329,9.76386081603165,17.927651452526334
URY,Non-OECD,1.988215895770956,3.5444893218524385,1.241793394007118,-5.156197767146239,8.700687088998677,shrink,-2.6195709039361517,69.82913011081718,1.241793394007118
USA,OECD (other),1.6352099305192875,3.8349719328900846,3.8349719328900846,2.40995968059849,1.4250122522915945,robust,-3.177573981609817,27.07880081230359,3.8349719328900846
UZB,Non-OECD,2.2235427649990847,5.6065917106681695,5.32675818860173,4.094741708500408,1.511850002167762,robust,-0.9672252033443086,13.378046122294828,5.32675818860173
VNM,East Asia,2.221502588308096,27.72188517929976,23.458920450950018,11.014550262635453,16.70733491666431,robust,11.832478549035814,19.73851465480925,23.458920450950018
