country,input,slope,se,n,region
ESP,ST297Q06JA,-0.27732233301288206,0.011378053753820378,29117,OECD (other)
ESP,ST297Q07JA,-0.3136578784953224,0.016231634046213875,29117,OECD (other)
EST,hwk_h,-0.13464070193829772,0.00982407630614189,6172,OECD (other)
EST,study_h,-0.043694091374291796,0.0034988630204841244,6250,OECD (other)
EST,EXERPRAC,-0.04695182232290819,0.003150567591361501,6253,OECD (other)
EST,ST297Q01JA,-0.39542348771759006,0.020972364332719793,6189,OECD (other)
EST,ST297Q03JA,-0.05831148235687844,0.020232686201560823,6189,OECD (other)
EST,ST297Q05JA,-0.09390981083611447,0.021114664522084034,6189,OECD (other)
EST,ST297Q06JA,-0.232299003594706,0.02507369114522572,6189,OECD (other)
EST,ST297Q07JA,-0.18698279024280523,0.030301324854584238,6189,OECD (other)
FIN,hwk_h,-0.15125660709848557,0.012009556828995408,9142,Nordic
FIN,study_h,-0.025795683076964504,0.0026675475591075868,9641,Nordic
FIN,EXERPRAC,-0.04680238638166463,0.0026358872382662296,9633,Nordic
FIN,ST297Q01JA,-0.5165625219640392,0.025502783835631506,9454,Nordic
FIN,ST297Q03JA,-0.39748960021871693,0.0307847582077655,9454,Nordic
FIN,ST297Q05JA,-0.29454301373402464,0.0315338845613806,9454,Nordic
FIN,ST297Q06JA,-0.40303272118586836,0.021466282275072298,9454,Nordic
FIN,ST297Q07JA,-0.19415233682788843,0.022944810646722758,9454,Nordic
FRA,hwk_h,-0.06879429880277191,0.010314741075967606,5926,OECD (other)
FRA,study_h,0.020012279389162727,0.0030551023680540183,6373,OECD (other)
FRA,EXERPRAC,-0.03552872637467977,0.0030177293753270184,6356,OECD (other)
FRA,ST297Q01JA,-0.30182972303826666,0.02867218945626384,6416,OECD (other)
FRA,ST297Q03JA,-0.29510968236484897,0.029864346959903906,6416,OECD (other)
FRA,ST297Q05JA,-0.08086510457940273,0.025480001186668544,6416,OECD (other)
FRA,ST297Q06JA,-0.1256943574796482,0.028618050067206115,6416,OECD (other)
FRA,ST297Q07JA,-0.2734601158305318,0.03739762645843759,6416,OECD (other)
GBR,hwk_h,0.0054146938546361404,0.010352990099567416,10183,OECD (other)
GBR,study_h,0.00783098175090288,0.003223932094169131,10832,OECD (other)
GBR,EXERPRAC,-0.047984635674963465,0.0028426584961499675,10831,OECD (other)
GBR,ST297Q01JA,-0.3978367181203461,0.023440172487487494,10807,OECD (other)
GBR,ST297Q03JA,-0.08635652687970932,0.02162408654451385,10807,OECD (other)
GBR,ST297Q05JA,-0.08260375288626799,0.026221015564728382,10807,OECD (other)
GBR,ST297Q06JA,-0.21797575249245657,0.02256270518099478,10807,OECD (other)
GBR,ST297Q07JA,-0.07915323986312199,0.023491698216469476,10807,OECD (other)
GEO,hwk_h,0.0552615207548262,0.00891302552599056,5150,Non-OECD
GEO,study_h,0.03965885369852476,0.003389498533722168,5492,Non-OECD
GEO,EXERPRAC,-0.01633053868695657,0.002964678654376894,5471,Non-OECD
GEO,ST297Q01JA,-0.004725993975419969,0.02189402350923884,5930,Non-OECD
GEO,ST297Q03JA,0.12214978926141631,0.022547969152099806,5930,Non-OECD
GEO,ST297Q05JA,0.004172275410292303,0.02487156810269899,5930,Non-OECD
GEO,ST297Q06JA,0.042865323654760555,0.02559423131903479,5930,Non-OECD
GEO,ST297Q07JA,-0.18889578527897974,0.028260017989433374,5930,Non-OECD
