country,construct,spec,n,country_mean_x,slope,se,t,region,hwk_mean,slope_p50
KOR,GROSAGR,within-country z,6335,-0.0253425323613084,0.042037610598160295,0.012512158434651009,3.3597409126263846,East Asia,2.8306867358374466,13.76158776921477
KOR,TEACHSUP,raw WLE,6332,0.06715659832857906,0.11493894262393167,0.012467105143188276,9.219377016863575,East Asia,2.8306867358374466,13.76158776921477
KOR,TEACHSUP,within-country z,6332,0.06715659832857906,0.11482642164760859,0.012454900308076692,9.219377016863517,East Asia,2.8306867358374466,13.76158776921477
KOR,FAMSUP,raw WLE,6258,0.057921521400737,0.03339618109902248,0.013417532419969833,2.488995744800113,East Asia,2.8306867358374466,13.76158776921477
KOR,FAMSUP,within-country z,6258,0.057921521400737,0.032224782802289735,0.012946901524284328,2.4889957448001088,East Asia,2.8306867358374466,13.76158776921477
KOR,BELONG,raw WLE,6365,0.26263182165294024,0.05654433927302745,0.012455810805058424,4.539595226515824,East Asia,2.8306867358374466,13.76158776921477
KOR,BELONG,within-country z,6365,0.26263182165294024,0.056830448320574406,0.012518836038206027,4.539595226515829,East Asia,2.8306867358374466,13.76158776921477
KOR,SDLEFF,raw WLE,4146,-0.22363711210379156,0.1753729493659243,0.014025463187525296,12.503897163403966,East Asia,2.8306867358374466,13.76158776921477
KOR,SDLEFF,within-country z,4146,-0.22363711210379156,0.19694622091021333,0.015750787001562135,12.503897163403998,East Asia,2.8306867358374466,13.76158776921477
KSV,MATHEFF,raw WLE,4536,-0.7519591662454265,0.14389532451325526,0.007185769151401305,20.025041367380144,Non-OECD,2.0089491018760146,12.544383612369757
KSV,MATHEFF,within-country z,4536,-0.7519591662454265,0.16803173031370097,0.008391080309447782,20.02504136738016,Non-OECD,2.0089491018760146,12.544383612369757
KSV,MATHEF21,raw WLE,4413,-0.01868776518319296,0.08978226014367956,0.008513608904451518,10.545734617517494,Non-OECD,2.0089491018760146,12.544383612369757
KSV,MATHEF21,within-country z,4413,-0.01868776518319296,0.09235513623466696,0.00875758205419432,10.545734617517487,Non-OECD,2.0089491018760146,12.544383612369757
KSV,ANXMAT,raw WLE,4408,0.2537955745866861,-0.12287595001803998,0.00801567523753322,-15.329457142010456,Non-OECD,2.0089491018760146,12.544383612369757
KSV,ANXMAT,within-country z,4408,0.2537955745866861,-0.13268832725763743,0.008655774697592154,-15.329457142010455,Non-OECD,2.0089491018760146,12.544383612369757
KSV,MATHMOT,raw WLE,4649,0.055673162302466286,0.01645833476713012,0.03729548209504167,0.44129567021519245,Non-OECD,2.0089491018760146,12.544383612369757
KSV,MATHMOT,within-country z,4649,0.055673162302466286,0.0037737228647682607,0.008551461343203438,0.4412956702151912,Non-OECD,2.0089491018760146,12.544383612369757
KSV,CURIOAGR,raw WLE,4734,0.3158706629581239,0.08288480070681079,0.00748531370671562,11.072989583916677,Non-OECD,2.0089491018760146,12.544383612369757
KSV,CURIOAGR,within-country z,4734,0.3158706629581239,0.09360087576282736,0.008453080810152752,11.072989583916675,Non-OECD,2.0089491018760146,12.544383612369757
KSV,GROSAGR,raw WLE,4696,-0.2892087561227377,0.008298065234090834,0.007283430628049991,1.1393072382859357,Non-OECD,2.0089491018760146,12.544383612369757
