country,slope_p25,slope_p50,slope_p75,slope_mid,concavity,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd,region,n_schools,schsize_mean,stratio_mean,private_share,abgmath_mean,stubeha_mean,mactiv_mean,edushort_mean,clsize_mean,escs_btw_var,exam_pressure_z,stratification_z,resource_z,pc1_org,pc2_org
ITA,12.138455374678983,6.948545776254832,-7.36841958367927,3.906193855751515,19.506874958358253,10552,344,471.2594754762866,2.134724514419104,6.4506535135548795,-0.10021047625315677,0,0,1,OECD (other),344,884.4581436128504,8.09927722277387,0.03932540070233838,1.842497080546879,-0.25298380473776716,2.393369905960827,-0.20551313364024415,23.89528793027,0.225731960846713,-1.2601314630546405,-1.2243805679987767,1.6984264371606148,1.0657280956794373,-1.2916713722846564
JAM,16.25257131812367,11.118882483916366,-3.36913419510131,8.000773202312908,19.62170551322498,3873,147,377.4169392186348,2.232627723331449,5.4250861716630965,-0.5503355620693652,0,0,0,Non-OECD,147,1223.8214433775993,16.63958153403531,0.02563680731675059,2.2051415698329344,0.7000564453793633,3.194305379094907,1.0213403611539291,35.370206390025686,0.14931838689723795,-1.164962848992448,-1.7730909181771795,-2.188959192840479,-1.0805468294101812,-1.8617435706174044
JOR,0.9637717813307064,-0.3510327499241157,-3.963697765673317,-1.1169862447555754,4.927469547004024,7799,260,361.2280283665785,2.084916711686655,7.121987312284525,-0.8164571700685548,0,0,0,Non-OECD,260,793.2953030841628,19.53850097088372,0.19533899270622504,2.4895955433189454,0.41528531256786266,1.8642913430525496,0.6288497382425633,33.80918999699389,0.2683788710865917,-0.9567437343950228,-0.1139815487036182,-2.0053601738082323,-1.5736420959754507,0.08141723781925819
KAZ,13.161927345355082,8.533505112121588,-4.371399050890773,5.774677802195299,17.533326396245855,19769,571,425.4391288356629,1.9329348074541597,7.582092170202877,-0.3723667452209884,0,0,0,Non-OECD,571,1164.9878884375908,11.71614693755402,0.09555167211469824,2.573029084825601,0.05620459380127619,3.8359346005731623,-0.00198339790501846,22.86350942526282,0.15131971505126263,2.4383585135851082,-1.381736703867817,0.6393687666755293,1.1050679551270175,-0.45503712053221645
KHM,7.181040571263907,4.494874646425615,-2.945644724829606,2.9100901642866384,10.126685296093513,5279,183,336.39604125930657,2.290104860018195,7.156072649907612,-2.0113231811312,0,0,0,Non-OECD,183,1396.3767312172458,24.34747664458233,0.06406245645657385,2.182796922454395,0.17387758644575993,2.341924769587766,0.8495405840080252,42.715629323476534,0.4355689427128378,-1.014624981862688,0.21275642022482855,-3.320716676376249,-2.441760679903047,-0.28551518667929354
KOR,31.647813873581526,13.76158776921477,2.9297109788800526,16.113037540558782,28.71810289470147,6454,186,527.3025017804584,2.8306867358374466,5.393015038589826,0.22438568549861265,1,0,1,East Asia,186,672.4085538246104,11.724466629443787,0.3088403376802281,1.950833642845483,-0.11276167615060932,3.689599999879885,0.06078302172722242,25.321725663323313,0.1417182016339991,0.309043376253034,-0.28537439454834446,0.5211722049216663,1.30242775895466,-0.3816275738314908
KSV,17.460474985056976,12.544383612369757,-1.2761077618815193,9.57625027851507,18.736582746938495,6027,229,354.9624438264088,2.0089491018760146,6.747239831478326,-0.3432331768521614,0,0,0,Non-OECD,229,787.3308021520893,13.888870217722856,0.05730938242334919,2.2256790975569336,0.3917561423109764,2.8068097134753267,0.9957009377808328,24.9214099942528,0.1604146600164224,-0.8218432082665941,-1.532524439157413,-1.623503105486822,-0.6691842858462052,-1.5360429143203285
LTU,1.331408325125949,-1.4434991220311415,-9.08312151551985,-3.0650707708083473,10.414529840645798,7257,292,475.1467619772571,1.995000935605318,6.439495618857025,0.0522950661242306,0,0,1,OECD (other),292,534.395462018921,11.686657297028898,0.04088170803557361,2.349272239021961,-0.44405202522779424,3.534447627663323,-0.27127656319326854,24.666426083817125,0.24289533558201432,2.398220075920573,-1.1093628289910955,1.1453114101703339,1.3298195421994243,-0.3009662932354539
LVA,-0.5082259237323683,-0.5082259237323683,-3.823641418160719,-1.6133644218751515,3.3154154944283505,5373,225,483.1594552018177,1.7695900563636002,5.811560083579887,-0.00948252342791961,0,0,1,OECD (other),225,663.5416209886002,10.8326676174834,0.01100879048431383,2.318436468611781,0.2349682509683353,3.4647672075003406,0.27993539129376915,22.070111677468535,0.18974028339571675,0.6413055066484283,-1.6013562671764459,0.28182950305540316,0.4866351012063508,-1.3399375167731273
MAC,10.376228039747616,4.48547272173505,-11.602280316167366,1.0864734817717665,21.978508355914983,4384,46,551.923153064622,2.1435891530412836,6.827181895229123,-0.4488941210209979,1,0,0,East Asia,46,1423.5409099001502,11.623198679734582,0.303642745834974,1.8814160150900656,-0.3630823566544666,4.218849383053589,-0.0143718194829589,30.900858508696732,0.26059901662514773,1.2273834809116346,0.4246934727973214,0.6798857579756319,1.431064524629912,-0.11781720435169331
MAR,7.549180558423586,6.087080724651173,1.905258713135083,5.180506665403281,5.643921845288503,6867,178,364.7662406960325,2.4522029255162527,6.593202594535893,-1.784536001667121,0,0,0,Non-OECD,178,1123.9372440230652,27.408465500706427,0.09985437780665832,2.194670502218143,0.8097323450879425,2.5879055606178945,1.2575345924665149,35.32191461701335,0.5808686823375316,-2.1500285647241504,1.309039042064326,-4.655059794886817,-3.973786676140287,-0.3895753571122358
MDA,9.920971538974245,6.420118140906311,-3.48235480931595,4.286244956854868,13.403326348290197,6235,265,414.1980631976305,1.9948904277358837,7.251705097933039,-0.522542343064163,0,0,0,Non-OECD,265,582.8312998280294,14.40260068138148,0.01748090403959715,2.2392519617233417,0.05620459380127619,1.8058761517963111,0.2994334611588887,25.914059192932392,0.2975867952784769,-1.143859862799451,-0.8965625776381762,-0.42643115908321677,-0.7048932117768848,-0.7641515141172197
MEX,14.14410668436676,11.211850721392864,2.823335872864675,9.393097759541432,11.320770811502085,6288,280,395.0299192187102,2.3595051499090336,6.856508538300546,-0.9524373255716472,0,0,1,OECD (other),280,1066.3301429337312,31.59066591037719,0.12757048179379965,2.35832026607274,0.38789770954105185,2.1661273106192587,0.3355605276806683,37.97909289378533,0.46868684765734503,-1.0445386977672793,0.7626175102604003,-3.729166941610647,-3.0833919350106,0.6906405092659778
MKD,10.826650649244186,10.826650649244186,7.140053291279457,9.597784863255944,3.686597357964729,6610,111,388.5755067832621,1.8638921403088031,6.429357425364054,-0.27981664973100984,0,0,0,Non-OECD,111,903.5481281065408,13.498639079342988,0.02361384552859061,2.509854701187838,0.05620459380127619,3.445153360975909,0.23016874973408216,25.88328237724061,0.15956390843677182,1.7528582897115348,-1.7204313549569084,-0.1275575841499997,0.5145668515933371,-0.7845095370937039
MLT,23.18922569972665,15.025613203496164,-7.694952034748496,10.173295622824773,30.884177734475145,3127,46,466.0161129110568,1.984520440316532,5.395913241147016,0.01924946963891799,0,0,0,Non-OECD,46,495.4949971531995,6.468684080241319,0.4586366865912145,2.6147263244433936,0.07353254714274564,1.480929357236506,-0.5394339505169472,19.802234645020153,0.19943190741744363,-0.13690227263693555,0.8848915533500424,2.6258612637041026,1.221428943096002,1.3145388808297027
MNE,17.27764909923809,17.27764909923809,12.239823264431775,15.598373820969318,5.0378258348063145,5793,63,405.60117333799366,1.803285362292394,5.760100986040516,-0.20551682878287,0,0,0,Non-OECD,63,804.7466938533386,11.471984228879894,0.12129647510218354,2.3864880684220315,-0.4018403739617438,3.556601217273496,0.6717571392603771,24.90780803897714,0.14457418251162538,2.467111280850892,-1.284093515462277,-0.5665897792239032,0.929569973798464,-0.5333197827690681
