country,trim_pct,n,slope,se,t,region,hwk_mean,slope_p50
IDN,5,12145,3.1743376036831252,0.3661286268454327,8.670006579472478,Non-OECD,2.1220405476236546,8.900114163131093
IDN,10,11506,3.1757220827680674,0.3795546344794212,8.366969585613766,Non-OECD,2.1220405476236546,8.900114163131093
IDN,15,10868,3.3211034546086347,0.39538155793698454,8.399742951940992,Non-OECD,2.1220405476236546,8.900114163131093
IDN,20,10228,3.677274637583865,0.4151918017727884,8.856809363486022,Non-OECD,2.1220405476236546,8.900114163131093
IDN,25,9589,3.8079040930996553,0.43017009502342296,8.852089294799335,Non-OECD,2.1220405476236546,8.900114163131093
IDN,30,8949,3.9085765105038814,0.45362600908662915,8.61629719683348,Non-OECD,2.1220405476236546,8.900114163131093
IRL,0,5376,-1.345141935476626,1.2273383068432397,-1.095983012977393,OECD (other),1.4825915953918989,8.098287498284321
IRL,5,5107,-1.9780810999164513,1.260037140745292,-1.5698593604522226,OECD (other),1.4825915953918989,8.098287498284321
IRL,10,4838,-2.247137451732723,1.2810036839299932,-1.75420061622206,OECD (other),1.4825915953918989,8.098287498284321
IRL,15,4569,-2.9847537820927266,1.3083889851920538,-2.2812434343862997,OECD (other),1.4825915953918989,8.098287498284321
IRL,20,4301,-3.3625860493863624,1.3623207459076454,-2.468277796904606,OECD (other),1.4825915953918989,8.098287498284321
IRL,25,4032,-3.659560135228679,1.4145413191059273,-2.5871002040023368,OECD (other),1.4825915953918989,8.098287498284321
IRL,30,3763,-3.5584973686762726,1.471908947909219,-2.417606995141214,OECD (other),1.4825915953918989,8.098287498284321
ISL,0,2911,-5.512626497692962,1.5622143866032399,-3.5287259834286884,Nordic,1.549673632365154,-7.097620606972498
ISL,5,2765,-6.222518387860585,1.6150056489508295,-3.8529390853233085,Nordic,1.549673632365154,-7.097620606972498
ISL,10,2620,-6.986642387025155,1.6725545560540964,-4.177228396966671,Nordic,1.549673632365154,-7.097620606972498
ISL,15,2474,-6.441778217756981,1.722016297492859,-3.7408346408427033,Nordic,1.549673632365154,-7.097620606972498
ISL,20,2329,-6.55187778417388,1.7641934418280383,-3.7138091712805,Nordic,1.549673632365154,-7.097620606972498
ISL,25,2183,-6.313750667047677,1.8349668175212255,-3.440798278617725,Nordic,1.549673632365154,-7.097620606972498
ISL,30,2038,-5.49788154844068,1.9325838885088706,-2.8448346181146613,Nordic,1.549673632365154,-7.097620606972498
ISR,0,5601,2.553192572283854,0.9294476372316327,2.7469999061900454,OECD (other),2.084157217899844,8.100450886453075
ISR,5,5321,2.050761102368546,0.9576774284466217,2.1413902442025132,OECD (other),2.084157217899844,8.100450886453075
ISR,10,5041,1.9915251204068412,0.9915607919696892,2.00847505925559,OECD (other),2.084157217899844,8.100450886453075
ISR,15,4762,1.7945101677205313,1.0259545010975608,1.7491128171870913,OECD (other),2.084157217899844,8.100450886453075
ISR,20,4481,1.4615843910126098,1.0585791106268927,1.380703979834872,OECD (other),2.084157217899844,8.100450886453075
ISR,25,4201,1.4152342664796027,1.0988166478832897,1.287962162937598,OECD (other),2.084157217899844,8.100450886453075
ISR,30,3922,1.8782807664744439,1.1377469417378563,1.650877446970287,OECD (other),2.084157217899844,8.100450886453075
ITA,0,10080,-0.8106524800354372,0.6806127203277609,-1.1910627818490571,OECD (other),2.134724514419104,6.948545776254832
ITA,5,9576,-0.9586777705158805,0.7033340050966229,-1.3630476609533175,OECD (other),2.134724514419104,6.948545776254832
ITA,10,9072,-1.2658320355711146,0.7265624611731716,-1.7422205291575221,OECD (other),2.134724514419104,6.948545776254832
ITA,15,8569,-1.1740856330624743,0.7503676446636737,-1.5646805154941317,OECD (other),2.134724514419104,6.948545776254832
ITA,20,8064,-1.104872809688562,0.7758770544864724,-1.4240307833563157,OECD (other),2.134724514419104,6.948545776254832
ITA,25,7561,-0.918601562192652,0.7969752927045616,-1.1526098369691584,OECD (other),2.134724514419104,6.948545776254832
ITA,30,7057,-0.9119528725680667,0.8227007038714187,-1.108486802401712,OECD (other),2.134724514419104,6.948545776254832
JAM,0,2784,-2.8624359441976317,0.8384616638811729,-3.4139139181959033,Non-OECD,2.232627723331449,11.118882483916366
JAM,5,2644,-3.172230690959269,0.8705938596772825,-3.6437549561114206,Non-OECD,2.232627723331449,11.118882483916366
JAM,10,2505,-2.6695140951078993,0.9151620896479646,-2.9169850076883987,Non-OECD,2.232627723331449,11.118882483916366
JAM,15,2366,-2.5091092155404446,0.9475233285550209,-2.648071176639896,Non-OECD,2.232627723331449,11.118882483916366
JAM,20,2227,-2.6690523636135097,0.9816015880573337,-2.7190791010187474,Non-OECD,2.232627723331449,11.118882483916366
