country,slope_p25,slope_p50,slope_p75,slope_mid,concavity,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd,region,n_schools,schsize_mean,stratio_mean,private_share,abgmath_mean,stubeha_mean,mactiv_mean,edushort_mean,clsize_mean,escs_btw_var,exam_pressure_z,stratification_z,resource_z
KSV,17.460474985056976,12.544383612369757,-1.2761077618815193,9.57625027851507,18.736582746938495,6027,229,354.9624438264088,2.0089491018760146,6.747239831478326,-0.3432331768521614,0,0,0,Non-OECD,229,787.3308021520893,13.888870217722856,0.05730938242334919,2.2256790975569336,0.3917561423109764,2.8068097134753267,0.9957009377808329,24.9214099942528,0.1604146600164224,-0.6750561646092408,-1.5020245385136248,-1.5268020345990256
LTU,1.331408325125949,-1.4434991220311415,-9.08312151551985,-3.0650707708083473,10.414529840645798,7257,292,475.1467619772571,1.995000935605318,6.439495618857025,0.0522950661242306,0,0,1,OECD (other),292,534.395462018921,11.686657297028898,0.040881708035573616,2.349272239021961,-0.44405202522779424,3.534447627663323,-0.27127656319326854,24.666426083817125,0.24289533558201434,2.3725659694543992,-1.0778678942884927,1.1609188983854908
LVA,-0.5082259237323683,-0.5082259237323683,-3.823641418160719,-1.6133644218751515,3.3154154944283505,5373,225,483.1594552018177,1.7695900563636002,5.811560083579887,-0.00948252342791961,0,0,1,OECD (other),225,663.5416209886002,10.8326676174834,0.011008790484313831,2.318436468611781,0.2349682509683353,3.4647672075003406,0.27993539129376915,22.070111677468535,0.18974028339571677,0.7376782631323806,-1.564587073414295,0.33431017367367016
MAC,10.376228039747616,4.48547272173505,-11.602280316167366,1.0864734817717665,21.978508355914983,4384,46,551.923153064622,2.1435891530412836,6.827181895229123,-0.4488941210209979,1,0,0,East Asia,46,1423.5409099001502,11.623198679734582,NA,1.8814160150900654,-0.3630823566544666,4.218849383053589,-0.014371819482958903,30.900858508696732,0.26059901662514773,1.2223433473359342,NA,0.7123847909656185
MAR,7.549180558423586,6.087080724651173,1.905258713135083,5.180506665403281,5.643921845288503,6867,178,364.7662406960325,2.4522029255162527,6.593202594535893,-1.784536001667121,0,0,0,Non-OECD,178,1123.9372440230652,27.408465500706427,0.09985437780665833,2.194670502218143,0.8097323450879425,2.5879055606178945,1.2575345924665149,35.32191461701335,0.5808686823375316,-1.9226476420770782,1.3261471992160638,-4.553081718203915
MDA,9.920971538974245,6.420118140906311,-3.48235480931595,4.286244956854868,13.403326348290197,6235,265,414.1980631976305,1.9948904277358837,7.251705097933039,-0.522542343064163,0,0,0,Non-OECD,265,582.8312998280294,14.40260068138148,0.01748090403959715,2.2392519617233417,0.05620459380127619,1.8058761517963111,NA,25.914059192932392,0.2975867952784769,-1.0288748670289278,-0.8625791081707243,NA
MEX,14.14410668436676,11.211850721392864,2.823335872864675,9.393097759541432,11.320770811502085,6288,280,395.0299192187102,2.3595051499090336,6.856508538300546,-0.9524373255716472,0,0,1,OECD (other),280,1066.3301429337312,31.59066591037719,0.12757048179379965,2.35832026607274,0.38789770954105185,2.1661273106192587,0.3355605276806683,37.97909289378533,0.46868684765734503,-0.8880086996251904,0.7775867740275624,-3.691284268920333
MKD,10.826650649244186,10.826650649244186,7.140053291279457,9.597784863255944,3.686597357964729,6610,111,388.5755067832621,1.8638921403088031,6.429357425364054,-0.27981664973100984,0,0,0,Non-OECD,111,903.5481281065408,13.498639079342988,0.023613845528590617,2.509854701187838,NA,3.445153360975909,0.23016874973408216,25.88328237724061,0.15956390843677182,NA,-1.684990415186971,-0.08068128221389098
MLT,23.18922569972665,15.025613203496164,-7.694952034748496,10.173295622824773,30.884177734475145,3127,46,466.0161129110568,1.984520440316532,5.395913241147016,0.01924946963891799,0,0,0,Non-OECD,46,495.49499715319956,6.468684080241319,0.4586366865912145,2.6147263244433936,0.07353254714274564,1.480929357236506,-0.5394339505169472,19.802234645020153,0.19943190741744365,-0.030257745485795184,0.8560490443403654,2.62848140321465
MNE,17.27764909923809,17.27764909923809,12.239823264431775,15.598373820969318,5.0378258348063145,5793,63,405.60117333799366,1.803285362292394,5.760100986040516,-0.20551682878287,0,0,0,Non-OECD,63,804.7466938533386,11.471984228879894,NA,2.3864880684220315,-0.4018403739617438,3.556601217273496,0.6717571392603771,24.90780803897714,0.14457418251162538,2.446202710265401,NA,-0.4889936673894575
MNG,13.821747501535183,11.195733344851476,3.596347870170291,9.537942905518983,10.225399631364892,6999,195,424.5931285428447,2.354119077126432,7.134720311731205,-0.7291488625589954,0,0,0,Non-OECD,195,1663.620236399999,19.562901442001884,0.10864735130426968,2.2783417122352603,0.0765971184833455,3.231712657053294,1.0871773280675485,30.827571479863632,0.4044437841712347,0.6646776485638372,0.2799462474022793,-2.7638929127540757
MYS,16.616832209678932,16.616832209678932,7.205111060672664,13.479591826676844,9.411721149006269,7069,199,408.6874321942563,2.4533543958604778,6.733138162927758,-0.6848914977984744,0,0,0,Non-OECD,199,1216.8585354513734,12.436271980637487,0.06717608536477647,2.5462019122466106,-0.37623443031419473,4.130685389294395,-0.12919665302672106,29.729457225251497,0.3132630058121179,3.627221108660699,-0.5034255174707953,0.7644501440834954
NLD,25.974395074725063,25.974395074725063,12.882446034039958,21.610412061163363,13.091949040685105,5046,154,492.6756389784962,1.7042317347207312,4.639463558294436,0.25346078228009306,0,0,1,OECD (other),154,1010.7667597815401,16.729962262868465,0.5306999912933669,2.2448205805056767,0.651650129921593,1.9350120648938407,-0.5206207652031012,24.84422025541231,0.1899541517137364,-2.1287991442539376,1.1773889509401654,0.6540808733437904
NZL,14.68835429509994,14.68835429509994,9.98874581579014,13.121818135330006,4.6996084793098,4682,169,479.0741934523778,1.4824864382255367,3.512481667364972,0.21906359919765703,0,0,1,OECD (other),169,NA,14.610578407877343,0.0635422276484761,2.248581849126974,0.35494670703318093,3.436033322953135,-0.5096846036157396,25.256517291918623,0.18896440804574732,0.19065958387390247,-1.292350799262719,1.0353071328296535
PAN,6.654496113756807,5.976636558925463,3.825681905885574,5.485604859522614,2.8288142078712326,4544,215,356.57350391859563,2.430084404667868,7.1767691331962835,-0.9467632798211756,0,0,0,Non-OECD,215,1543.5591661900787,16.63616528983296,0.16398011198830223,2.5444001921249972,0.07866307177969914,2.0035855005432506,0.5043445315348228,32.009395995991994,0.6924849301884182,0.28029926165726937,2.3555435751594223,-1.1655657523943892
PER,11.311927173595793,11.311927173595793,4.723140165759446,9.115664837650344,6.588787007836347,6968,336,391.23578464022944,2.540551876515324,7.171192860547742,-1.1534973668700967,0,0,0,Non-OECD,336,702.1330468990757,19.45972350760248,0.2401195670820904,2.452671772816717,0.18672511281643367,1.8763509773291216,0.5451900323851238,28.015731549665464,0.7371242418373632,-0.43278764939444125,3.033518038745442,-1.7727952444196093
PHL,9.589841509208156,8.719569907779146,5.924543185321966,8.077984867436422,3.6652983238861903,7193,188,354.7197127888579,2.515598305723145,6.4882555890022955,-1.3379003723399463,0,0,0,Non-OECD,188,2657.6128870740126,29.549219452447396,0.16581728785346414,2.450922901210142,0.10327061746244996,2.5461979994458472,0.7075035699199858,42.74140798109189,0.2876335009848917,0.4855541082153993,-0.14194924526562144,-3.971950663709534
POL,9.036300534420832,9.036300534420832,4.117549770562903,7.396716946468189,4.918750763857929,6011,240,488.9600537637015,1.815381395670944,4.92734579232336,-0.10514068515163943,0,0,1,OECD (other),240,528.9873754066888,10.371461324140432,0.06902890150848336,1.9925964581379871,-0.08697623029478484,3.0510123208811923,-0.3658502071783417,28.28025245522785,0.272381196538882,-0.25352496721517676,-0.746829107978438,1.5791925538089948
